DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes
dec::v17::plaid_account_type::upi_payer_account::discovery,Plaid.account_type,UPI.payer_account,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:account_type vs payment_account:payer_account,REJECT_BY_NORMAL_FORM,account_type|payer_account,payment_account:account_type,payment_account:payer_account,account_classification,payer_account,0.30473148732773014,0.6801852018887529,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:account_type vs payment_account:payer_account
dec::v17::plaid_currency::razorpay_currency::discovery,Plaid.currency,Razorpay.currency,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.9425752851232074,0.9787865289234496,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::plaid_currency::stripe_currency::discovery,Plaid.currency,Stripe.currency,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.9425752851232074,0.9787865289234496,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::plaid_currency::upi_currency::discovery,Plaid.currency,UPI.currency,discovery,HUMAN_REVIEW,cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.9425752851232074,0.9787865289234496,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,
dec::v17::plaid_transaction_identifier::plaid_transaction_amount::discovery,Plaid.transaction_id,Plaid.transaction_amount,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,transaction_identifier|payment_amount,identifier:transaction,payment:amount,transaction_identifier,transaction_amount,0.287297788653094,0.6303746342469354,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::plaid_transaction_identifier::plaid_transaction_date::discovery,Plaid.transaction_id,Plaid.transaction_date,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,transaction_identifier|transaction_date,identifier:transaction,temporal:transaction_date,transaction_identifier,posted_transaction_date,0.2608449313343633,0.5547950419077048,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::plaid_transaction_identifier::stripe_customer_identifier::discovery,Plaid.transaction_id,Stripe.customer_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,transaction_identifier|customer_identifier,identifier:transaction,identifier:customer,transaction_identifier,customer_object_identifier,0.2700294816513498,0.5810366142419519,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:transaction vs identifier:customer; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::plaid_transaction_identifier::upi_transaction_identifier::discovery,Plaid.transaction_id,UPI.txn_id,discovery,REJECT_UNSAFE,identifier subtypes must remain separate: identifier:transaction vs identifier:upi_transaction,REJECT_BY_NORMAL_FORM,transaction_identifier,identifier:transaction,identifier:upi_transaction,transaction_identifier,upi_transaction_identifier,0.7515033064225879,0.8614380183502511,1.0,4,PASS,PASS,PASS,FAIL,PASS,PASS,identifier subtypes must remain separate: identifier:transaction vs identifier:upi_transaction
dec::v17::plaid_transaction_identifier::upi_transaction_amount::discovery,Plaid.transaction_id,UPI.txn_amount,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,transaction_identifier|payment_amount,identifier:transaction,payment:amount,transaction_identifier,transaction_amount,0.2693974307644571,0.5792307545651156,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::plaid_transaction_identifier::upi_transaction_timestamp::discovery,Plaid.transaction_id,UPI.txn_timestamp,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,transaction_identifier|transaction_timestamp,identifier:transaction,temporal:transaction_timestamp,transaction_identifier,transaction_timestamp,0.2587860513595163,0.5489125276938561,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::plaid_transaction_identifier::upi_transaction_status::discovery,Plaid.transaction_id,UPI.txn_status,discovery,REJECT_UNSAFE,identifier must not merge with payment/temporal,REJECT_BY_NORMAL_FORM,transaction_identifier|payment_status,identifier:transaction,payment:status,transaction_identifier,transaction_status,0.2751787320888688,0.5957487583491489,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,identifier must not merge with payment/temporal
dec::v17::plaid_transaction_amount::plaid_transaction_date::discovery,Plaid.transaction_amount,Plaid.transaction_date,discovery,REJECT_UNSAFE,schema-declared do_not_merge_with_families veto,REJECT_BY_NORMAL_FORM,payment_amount|transaction_date,payment:amount,temporal:transaction_date,transaction_amount,posted_transaction_date,0.26473235784820554,0.5659019748043967,0.3333333333333333,0,FAIL,DEFER,PASS,PASS,FAIL,PASS,schema-declared do_not_merge_with_families veto
dec::v17::plaid_transaction_amount::razorpay_amount::discovery,Plaid.transaction_amount,Razorpay.amount,discovery,HUMAN_REVIEW,evidence margin below auto-merge threshold; cross-rail compatibility uncertain,QUEUE_HUMAN_REVIEW,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.7871530594216946,0.6775801697762701,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,
