mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family
embed_only_baseline,entity,type,entity,type,entity <-> type,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9127249717712402,0.0,,payment:account_type,False,0.25,mixed,mixed,True,False,0.9986519813537598,0.0,0.6648203849792481,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000168,True,True,,False,False,FP,|payment:account_type
embed_only_baseline,entity,aliases,aliases,entity,aliases <-> entity,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8408665657043457,0.0,,,False,0.16666666666666666,mixed,mixed,True,False,0.8452860713005066,0.0,0.6054038405418396,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000169,True,True,,False,False,FP,|
embed_only_baseline,entity,pattern,entity,pattern,entity <-> pattern,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8710557818412781,0.0,,,False,0.3333333333333333,mixed,mixed,True,False,0.9481371641159058,0.0,0.6380497455596924,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000170,True,True,,False,False,FP,|
embed_only_baseline,entity,description,description,entity,description <-> entity,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9006474614143372,0.0,,text:description,False,0.16666666666666666,mixed,mixed,True,False,0.9773710370063782,0.0,0.6557331919670105,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000171,True,True,,False,False,FP,|text:description
embed_only_baseline,entity,tags,entity,tags,entity <-> tags,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8643847703933716,0.0,,,False,0.5,mixed,mixed,True,False,0.9991876482963562,0.0,0.6455914378166199,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000172,True,True,,False,False,FP,|
embed_only_baseline,entity,created_at,created at,entity,created at <-> entity,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8006287813186646,0.0,,,False,1.0,mixed,mixed,True,False,0.9982948899269104,0.0,0.619910490512848,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000173,True,True,,False,False,FP,|
embed_only_baseline,entity,msg_id,entity,msg identifier,entity <-> msg identifier,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6675947904586792,0.0,,identifier,False,0.16666666666666666,mixed,mixed,True,False,0.9990580677986145,0.0,0.5668495297431946,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000174,True,True,,False,False,FP,|identifier
embed_only_baseline,entity,instd_amt,entity,instd amount,entity <-> instd amount,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6524738669395447,0.0,,payment:amount,False,0.16666666666666666,mixed,^[+-]?[0-9]+(\.[0-9]+)?$,False,False,0.9840236306190491,0.0,0.4577942728996277,2,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000176,True,True,,False,False,FP,|payment:amount
embed_only_baseline,entity,currency,currency,entity,currency <-> entity,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6785041689872742,0.0,,payment:currency,False,0.047619047619047616,mixed,mixed,True,False,0.9905311465263367,0.0,0.569507896900177,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000177,True,True,,False,False,FP,|payment:currency
embed_only_baseline,entity,reqd_exctn_dt,entity,reqd exctn dt,entity <-> reqd exctn dt,INAmex.json,ISO20022.json,Payments Risk,Payments Risk,0.6803452372550964,0.0,,,False,0.16666666666666666,mixed,mixed,True,False,0.997555673122406,0.0,0.5716492295265199,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000182,True,True,,False,False,FP,|
embed_only_baseline,entity,exp,entity,exp,entity <-> exp,INAmex.json,PPVisa.json,Payments Risk,Payments Risk,0.6718334555625916,0.0,,,False,0.0625,mixed,mixed,True,False,0.9929187893867493,0.0,0.5673171401023864,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000197,True,True,,False,False,FP,|
embed_only_baseline,entity,payee_vpa,entity,payee vpa,entity <-> payee vpa,INAmex.json,UPI.json,Payments Risk,Payments Risk,0.6602742075920105,0.0,,party:name,False,0.16666666666666666,mixed,mixed,True,False,0.9929166436195374,0.0,0.5626930117607117,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000216,True,True,,False,False,FP,|party:name
